,Feature,Importance
0,available_quantity,0.0029100257
1,avg_gmv_item_domain_30days,0.0029835054
2,avg_gmv_item_sel,0.0024869295
3,avg_gmv_seller_bday,0.0024101338
4,avg_qty_orders_item_domain_30days,0.0034813574
5,avg_qty_orders_item_sel_30days,0.002943863
6,avg_si_item_sel_30day,0.0022503124
7,boosted,0.0
8,free_shipping,0.006754573
9,fulfillment,0.0030492013
10,health,0.0025693884
11,is_pdp,0.293226
12,offset,0.037938032
13,original_price,0.0040736566
14,price,0.0042162766
15,print_position,0.017187608
16,qty_items_dom,0.0021348079
17,qty_items_sel,0.002562899
18,sold_quantity,0.0019371696
19,total_asp_item_domain_30days,0.0028115462
20,total_asp_item_sel_30days,0.0022396168
21,total_gmv_domain_bday,0.0025737048
22,total_gmv_item_30days,0.003924185
23,total_items_domain,0.002273203
24,total_items_seller,0.0022863327
25,total_orders_domain_30days,0.0033551725
26,total_orders_item_30days,0.011671429
27,total_orders_sel_30days,0.0023786023
28,total_si_domain_30days,0.0030432849
29,total_si_item_30days,0.0056771133
30,total_si_sel_30days,0.0024381687
31,total_visits_domain,0.0026818437
32,total_visits_item,0.0043693553
33,total_visits_seller,0.0024775441
34,warranty,0.0031582944
35,discount_%,0.0044348226
36,good_quality_picture,0.007633184
37,good_quality_thumbnail,0.0037191915
38,today_promotion,0.0023742318
39,brand_verified,0.0033116618
40,extended_warranty_eligible,0.007357517
41,immediate_payment,0.0
42,cart_eligible,0.004865771
43,incomplete_technical_specs,0.008383407
44,loyalty_discount_eligible,0.0021054887
45,deal_of_the_day,0.0027206829
46,dragged_bids_and_visits,0.0039707297
47,lightning_deal,0.002976654
48,poor_quality_picture,0.004238811
49,ahora-12,0.005666809
50,catalog_listing_eligible,0.0032933203
51,poor_quality_thumbnail,0.0034384485
52,supermarket_eligible,0.0
53,under_infractions,0.0012317034
54,month,0.0033912256
55,day,0.002967242
56,day_of_week,0.0032706547
57,hour,0.003442269
58,minute,0.0016282339
59,second,0.0014694466
60,category_first_Accesorios para Vehículos,0.0024121976
61,category_first_Agro,0.0
62,category_first_Alimentos y Bebidas,0.0064050825
63,category_first_Animales y Mascotas,0.0
64,category_first_Antigüedades y Colecciones,0.0
65,"category_first_Arte, Librería y Mercería",0.0
66,category_first_Bebés,0.0025444638
67,category_first_Belleza y Cuidado Personal,0.0033725246
68,category_first_Celulares y Telefonía,0.0
69,category_first_Celulares y Teléfonos,0.0022252447
70,category_first_Computación,0.006537829
71,category_first_Consolas y Videojuegos,0.004186191
72,category_first_Cámaras y Accesorios,0.0
73,category_first_Deportes y Fitness,0.0028323946
74,category_first_Electrodomésticos,0.0
75,category_first_Electrodomésticos y Aires Ac.,0.0059641334
76,"category_first_Electrónica, Audio y Video",0.010391048
77,category_first_Eletrodomésticos,0.0
78,category_first_Esportes e Fitness,0.0
79,category_first_Herramientas y Construcción,0.0034165098
80,"category_first_Hogar, Muebles y Jardín",0.0028863105
81,category_first_Industrias y Oficinas,0.0029103816
82,category_first_Instrumentos Musicales,0.003442492
83,category_first_Joyas y Relojes,0.0
84,category_first_Juegos y Juguetes,0.0030279872
85,"category_first_Libros, Revistas y Comics",0.0
86,"category_first_Música, Películas y Series",0.0
87,category_first_Otras categorías,0.0
88,category_first_Ropa y Accesorios,0.0036447605
89,"category_first_Ropa, Bolsas y Calzado",0.0
90,category_first_Salud y Equipamiento Médico,0.002591394
91,"category_first_Souvenirs, Cotillón y Fiestas",0.0
92,listing_type_id_gold_pro,0.0034690343
93,listing_type_id_gold_special,0.0036475675
94,logistic_type_cross_docking,0.0023850834
95,logistic_type_custom,0.00880569
96,logistic_type_default,0.0
97,logistic_type_drop_off,0.0018113401
98,logistic_type_fulfillment,0.0025497612
99,logistic_type_not_specified,0.0053010276
100,logistic_type_xd_drop_off,0.0036081893
101,platform_android,0.006071288
102,platform_desktop,0.019309416
103,platform_ios,0.0054272725
104,platform_mobile,0.005245624
105,category_last_A Carbón,0.0
106,category_last_A Combustible,0.0
107,category_last_A Combustión,0.0
108,category_last_A Gas,0.0
109,category_last_Abanicos,0.0
110,category_last_Ablandadores de Agua,0.0
111,category_last_Abrochadoras,0.0
112,category_last_Accesorios,0.0
113,category_last_Aceite de Motor,0.0
114,category_last_Aceites,0.0
115,category_last_Aceites de Motor,0.0
116,category_last_Acetos Balsámicos,0.0
117,category_last_Acolchados,0.0
118,category_last_Acordeones,0.0
119,category_last_Acrílicos,0.0
120,category_last_Acústicas,0.0
121,category_last_Adaptadores,0.0
122,category_last_Adaptadores Wifi,0.0
123,category_last_Adaptadores de Enchufes,0.0
124,category_last_Adaptadores de Taladro,0.0
125,category_last_Adhesivos para Construcción,0.0
126,category_last_Adornos,0.0
127,category_last_Aerosoles,0.0
128,category_last_Aerógrafo,0.0
129,category_last_Afeitadoras Descartables,0.0
130,category_last_Afeitadoras Eléctricas,0.0
131,category_last_Afiladores,0.0
132,category_last_Afiladores Eléctricos,0.0
133,category_last_Afiladores Manuales,0.0
134,category_last_Afinadores,0.0
135,category_last_Agarraderas para Cocina,0.0
136,category_last_Agarres para Gimnasio,0.0
137,category_last_Agendas y Diarios Íntimos,0.0
138,category_last_Agitadores,0.0
139,category_last_Aguas Minerales,0.0
140,category_last_Agujas,0.0
141,category_last_Ahuyentadores Ultrasónicos,0.0
142,category_last_Airbags,0.0
143,category_last_Aireadores de Vinos,0.0
144,category_last_Aires Acondicionados,0.0
145,category_last_Alacenas de Cocina,0.0
146,category_last_Alambrados,0.0
147,category_last_Alambres,0.0
148,category_last_Alambres de Púa,0.0
149,category_last_Alambres para Soldar,0.0
150,category_last_Alargues,0.0
151,category_last_Alarmas para Automotores,0.0
152,category_last_Alarmas para Motos,0.0
153,category_last_Alarmas y Sensores,0.0
154,category_last_Alcoholes Etílicos,0.0
155,category_last_Alcoholes en Aerosol,0.0
156,category_last_Alcoholes en Gel,0.0
157,category_last_Alfombras,0.0
158,category_last_Alfombras Antigolpes,0.0
159,category_last_Alfombras De Baile,0.0
160,category_last_Alfombras Sanitarias,0.0
161,category_last_Alfombras de Juego,0.0
162,category_last_Alfombras para Baño,0.0
163,category_last_Alfombras y Carpetas,0.0
164,category_last_Alforjas,0.0
165,"category_last_Alforjas, Bolsos y Cartucheras",0.0
166,category_last_Algodones,0.0
167,category_last_Alianzas,0.0
168,category_last_Alicates,0.0
169,category_last_Alimento,0.0
