Feature,weight,gain,cover,total_gain,total_cover
available_quantity,527.0,7.577753067016602,905.275146484375,3993.475830078125,477080.0
avg_gmv_item_domain_30days,268.0,7.819207668304443,745.6773071289062,2095.547607421875,199841.515625
avg_gmv_item_sel,290.0,6.644211769104004,506.9574279785156,1926.8214111328125,147017.65625
avg_gmv_seller_bday,216.0,6.466831207275391,590.370361328125,1396.8355712890625,127520.0
avg_qty_orders_item_domain_30days,332.0,9.465169906616211,825.7725830078125,3142.436279296875,274156.5
avg_qty_orders_item_sel_30days,334.0,7.860804557800293,656.8632202148438,2625.5087890625,219392.3125
avg_si_item_sel_30day,247.0,6.2003173828125,388.18963623046875,1531.4783935546875,95882.84375
boosted,0.0,0.0,0.0,0.0,0.0
free_shipping,58.0,15.430145263671875,2992.158935546875,894.9484252929688,173545.21875
fulfillment,17.0,6.102170944213867,226.25003051757812,103.73690795898438,3846.25048828125
health,138.0,6.76057767868042,846.5831298828125,932.959716796875,116828.46875
is_pdp,224.0,780.5259399414062,10454.5595703125,174837.8125,2341821.25
offset,252.0,100.29735565185547,4544.5244140625,25274.93359375,1145220.125
original_price,230.0,9.837422370910645,1315.5533447265625,2262.607177734375,302577.28125
price,400.0,10.889351844787598,1724.365478515625,4355.74072265625,689746.1875
print_position,851.0,42.17078399658203,1775.4525146484375,35887.3359375,1510910.125
qty_items_dom,169.0,5.543124198913574,340.5743713378906,936.7880249023438,57557.06640625
qty_items_sel,211.0,6.076827526092529,338.397705078125,1282.2105712890625,71401.9140625
sold_quantity,423.0,5.267996788024902,389.4584045410156,2228.362548828125,164740.90625
total_asp_item_domain_30days,302.0,7.489442825317383,742.4158935546875,2261.811767578125,224209.59375
total_asp_item_sel_30days,242.0,6.268310070037842,495.171875,1516.9310302734375,119831.59375
total_gmv_domain_bday,207.0,7.365194320678711,616.6298828125,1524.59521484375,127642.390625
total_gmv_item_30days,289.0,10.224004745483398,748.9796142578125,2954.7373046875,216455.109375
total_items_domain,158.0,5.7154107093811035,417.79425048828125,903.034912109375,66011.4921875
total_items_seller,209.0,5.890741348266602,400.2225341796875,1231.1649169921875,83646.5078125
total_orders_domain_30days,241.0,8.41277027130127,989.1627197265625,2027.4776611328125,238388.21875
total_orders_item_30days,505.0,30.33719253540039,2365.297119140625,15320.2822265625,1194475.0
total_orders_sel_30days,182.0,6.590085029602051,621.731201171875,1199.3955078125,113155.078125
total_si_domain_30days,233.0,7.794968605041504,845.3473510742188,1816.2276611328125,196965.9375
total_si_item_30days,255.0,16.00281524658203,1262.00830078125,4080.718017578125,321812.125
total_si_sel_30days,193.0,6.326234340667725,618.5866088867188,1220.9632568359375,119387.21875
total_visits_domain,192.0,6.953028202056885,707.8787231445312,1334.9814453125,135912.71875
total_visits_item,386.0,11.076924324035645,1206.646240234375,4275.69287109375,465765.46875
total_visits_seller,241.0,6.613621711730957,622.8037719726562,1593.8828125,150095.703125
warranty,4.0,7.256349086761475,839.499755859375,29.0253963470459,3357.9990234375
discount_%,357.0,11.770421981811523,1911.3778076171875,4202.04052734375,682361.875
good_quality_picture,6.0,16.77717399597168,1404.9073486328125,100.66304016113281,8429.4443359375
good_quality_thumbnail,25.0,10.049915313720703,3136.489990234375,251.24789428710938,78412.25
today_promotion,12.0,3.8273212909698486,108.95126342773438,45.9278564453125,1307.4151611328125
brand_verified,6.0,8.210808753967285,833.3209838867188,49.264854431152344,4999.92578125
extended_warranty_eligible,31.0,19.674705505371094,2242.190185546875,609.9158935546875,69507.8984375
immediate_payment,0.0,0.0,0.0,0.0,0.0
cart_eligible,9.0,4.479256629943848,157.89259338378906,40.31330871582031,1421.0333251953125
incomplete_technical_specs,16.0,19.10462188720703,2316.790283203125,305.6739501953125,37068.64453125
loyalty_discount_eligible,6.0,4.8171844482421875,239.159912109375,28.903106689453125,1434.95947265625
deal_of_the_day,10.0,9.060321807861328,606.6610717773438,90.60321807861328,6066.61083984375
dragged_bids_and_visits,9.0,6.055481910705566,1062.3538818359375,54.49933624267578,9561.1845703125
lightning_deal,1.0,14.206432342529297,581.6119384765625,14.206432342529297,581.6119384765625
poor_quality_picture,4.0,11.181753158569336,2218.5888671875,44.727012634277344,8874.35546875
ahora-12,67.0,17.372196197509766,3013.118408203125,1163.9371337890625,201878.9375
catalog_listing_eligible,8.0,8.032638549804688,951.4852905273438,64.2611083984375,7611.88232421875
poor_quality_thumbnail,1.0,21.485595703125,2403.305908203125,21.485595703125,2403.305908203125
supermarket_eligible,0.0,0.0,0.0,0.0,0.0
under_infractions,2.0,2.9886474609375,3872.408203125,5.977294921875,7744.81640625
month,16.0,4.913309574127197,178.8101348876953,78.61295318603516,2860.962158203125
day,244.0,7.587911128997803,1267.6053466796875,1851.4503173828125,309295.71875
day_of_week,207.0,8.225312232971191,1494.0284423828125,1702.6396484375,309263.875
hour,571.0,9.056188583374023,1521.4879150390625,5171.08349609375,868769.625
minute,550.0,4.212708950042725,253.22500610351562,2316.989990234375,139273.75
second,477.0,3.808805227279663,207.4520721435547,1816.800048828125,98954.640625
